tool	CPAchecker 1.9	CPAchecker 1.9	CPAchecker 1.9	CPAchecker 1.9
run set	cpa-symexA.sv-comp18	cpa-symexA.sv-comp18	cpa-symexA.sv-comp18	cpa-symexA.sv-comp18
../sv-benchmarks/c/	status	cputime (s)	walltime (s)	memory (MB)
reducercommutativity/sum10_true-unreach-call_true-termination.i	TIMEOUT	900.853776172	896.451525605982	702.480384
reducercommutativity/sum20_true-unreach-call.i	TIMEOUT	900.765792363	893.062415116001	997.51936
reducercommutativity/sum40_true-unreach-call.i	TIMEOUT	901.190029135	890.120658333006	1288.17152
reducercommutativity/sum60_true-unreach-call.i	TIMEOUT	901.482564109	886.439378927986	1587.802112
reducercommutativity/sum_true-unreach-call_true-termination.i	TIMEOUT	900.797925396	891.654428233043	687.783936
array-tiling/mlceu_false-unreach-call.i	TIMEOUT	900.366987333	744.720820865012	686.391296
array-tiling/skippedu_false-unreach-call.i	false(unreach-call)	4.532048436	1.66887717996724	169.611264
array-tiling/mbpr2_true-unreach-call.i	TIMEOUT	902.096557457	616.377187067003	959.87712
array-tiling/mbpr3_true-unreach-call.i	TIMEOUT	903.171175236	610.080250903964	959.54944
array-tiling/mbpr4_true-unreach-call.i	TIMEOUT	903.849490334	607.489367550996	944.349184
array-tiling/mbpr5_true-unreach-call.i	TIMEOUT	903.363598316	611.861437865999	810.491904
array-tiling/nr2_true-unreach-call.i	TIMEOUT	902.994938736	572.32108455	1170.432
array-tiling/nr3_true-unreach-call.i	TIMEOUT	901.293591714	593.980407416006	1125.82656
array-tiling/nr4_true-unreach-call.i	TIMEOUT	903.708512139	580.911141783989	1178.017792
array-tiling/nr5_true-unreach-call.i	TIMEOUT	900.918013777	595.601168331981	1120.247808
array-tiling/pnr2_true-unreach-call.i	TIMEOUT	901.619713017	870.993060690002	1444.544512
array-tiling/pnr3_true-unreach-call.i	TIMEOUT	901.507470778	873.463464253	1459.716096
array-tiling/pnr4_true-unreach-call.i	TIMEOUT	901.19409925	872.81035138201	1451.446272
array-tiling/pnr5_true-unreach-call.i	TIMEOUT	901.358333006	871.082208195003	1459.531776
array-tiling/poly1_true-unreach-call.i	TIMEOUT	902.815305368	751.150784376019	696.172544
array-tiling/poly2_true-unreach-call.i	TIMEOUT	902.070525084	755.966464944009	828.297216
array-tiling/pr2_true-unreach-call.i	TIMEOUT	904.097739756	719.734277866024	969.596928
array-tiling/pr3_true-unreach-call.i	TIMEOUT	903.178681665	691.233902497042	825.339904
array-tiling/pr4_true-unreach-call.i	TIMEOUT	902.400249952	767.767443734978	817.23392
array-tiling/pr5_true-unreach-call.i	TIMEOUT	901.21381142	828.150948693044	787.697664
array-tiling/revcpyswp2_true-unreach-call.i	TIMEOUT	901.342880276	604.672621028964	1779.654656
array-tiling/rew_true-unreach-call.i	TIMEOUT	904.767971543	793.356026944006	533.622784
array-tiling/rewnif_true-unreach-call.i	TIMEOUT	902.00039518	735.082963074965	550.576128
array-tiling/rewnifrev2_true-unreach-call.i	TIMEOUT	900.560862759	838.920264787972	719.27808
array-tiling/rewnifrev_true-unreach-call.i	TIMEOUT	900.986189408	805.371194654028	995.422208
array-tiling/rewrev_true-unreach-call.i	TIMEOUT	901.058368468	795.564889853995	961.327104
array-tiling/skipped_true-unreach-call.i	TIMEOUT	900.763430705	817.689538576	796.479488
array-tiling/tcpy_true-unreach-call.i	TIMEOUT	900.285413209	850.767084173975	723.18976
array-programs/copysome1_false-unreach-call.i	TIMEOUT	901.411017456	896.845851041959	314.679296
array-programs/copysome2_false-unreach-call.i	TIMEOUT	901.616924832	897.046572567022	286.208
array-programs/copysome1_true-unreach-call.i	TIMEOUT	901.392125136	896.815791276982	284.925952
array-programs/copysome2_true-unreach-call.i	TIMEOUT	901.572535157	897.022202551016	281.587712
bitvector/byte_add_false-unreach-call_true-no-overflow_true-termination.i	false(unreach-call)	11.760104005	3.72236609103857	330.19904
bitvector/sum02_false-unreach-call_true-no-overflow.i	TIMEOUT	901.551570151	548.940499559976	1895.36256
bitvector/byte_add_1_true-unreach-call_true-no-overflow_true-termination.i	true	6.668265453	2.12614735600073	216.051712
bitvector/byte_add_2_true-unreach-call_true-no-overflow_true-termination.i	true	6.877753229	2.11529837897979	247.832576
bitvector/gcd_1_true-unreach-call_true-no-overflow.i	true	4.59949878	2.25591809104662	164.286464
bitvector/gcd_2_true-unreach-call_true-no-overflow.i	true	186.931335841	182.687447398028	348.274688
bitvector/gcd_3_true-unreach-call_true-no-overflow.i	true	184.875711219	180.443624335981	316.817408
bitvector/gcd_4_true-unreach-call_true-no-overflow_true-termination.i	true	3.331011245	1.35092929500388	134.459392
bitvector/interleave_bits_true-unreach-call_true-no-overflow.i	true	3.713573215	1.34337225701893	159.080448
bitvector/jain_1_true-unreach-call_true-no-overflow_false-termination.i	TIMEOUT	905.847324372	858.783765944012	1805.94688
bitvector/jain_2_true-unreach-call_true-no-overflow_false-termination.i	TIMEOUT	909.801017486	860.474969908013	1433.174016
bitvector/jain_4_true-unreach-call_true-no-overflow_false-termination.i	TIMEOUT	901.428860124	852.575814144046	1477.103616
bitvector/jain_5_true-unreach-call_true-no-overflow.i	TIMEOUT	901.085665956	870.48444682901	1397.00224
bitvector/jain_6_true-unreach-call_true-no-overflow_false-termination.i	TIMEOUT	909.129718253	858.393217956997	1532.8256
bitvector/jain_7_true-unreach-call_true-no-overflow_false-termination.i	TIMEOUT	907.753309084	858.595401458035	1573.433344
bitvector/modulus_true-unreach-call_true-no-overflow.i	true	321.29062541	300.928432506975	1031.266304
bitvector/num_conversion_1_true-unreach-call_true-no-overflow.i	true	3.413681935	1.3401108480175	137.179136
bitvector/num_conversion_2_true-unreach-call_true-no-overflow.i	true	9.84345472	3.55098564299988	286.253056
bitvector/parity_true-unreach-call_true-no-overflow.i	TIMEOUT	910.420237335	789.600669249019	6408.470528
bitvector/sum02_true-unreach-call_true-no-overflow.i	TIMEOUT	901.409892672	636.768119690998	2015.35488
bitvector/s3_clnt_1_false-unreach-call_true-no-overflow.BV.c.cil.c	false(unreach-call)	78.853432162	63.692689560994	723.132416
bitvector/s3_clnt_2_false-unreach-call_true-no-overflow.BV.c.cil.c	TIMEOUT	902.535065541	845.770835140953	989.196288
bitvector/s3_clnt_3_false-unreach-call_true-no-overflow.BV.c.cil.c	false(unreach-call)	17.827981017	7.54745833901688	382.89408
bitvector/s3_clnt_1_true-unreach-call_true-no-overflow.BV.c.cil.c	TIMEOUT	901.884310108	861.99741681997	922.46016
bitvector/s3_clnt_2_true-unreach-call_true-no-overflow.BV.c.cil.c	true	524.356219259	494.006955282995	1064.546304
bitvector/s3_clnt_3_true-unreach-call_true-no-overflow.BV.c.cil.c	true	563.883406973	532.393683087023	1030.311936
bitvector/s3_srvr_1_alt_true-unreach-call_true-no-overflow.BV.c.cil.c	TIMEOUT	902.94373007	821.52787978499	888.09472
bitvector/s3_srvr_1_true-unreach-call_true-no-overflow.BV.c.cil.c	TIMEOUT	901.766087457	865.193397531984	1010.958336
bitvector/s3_srvr_2_alt_true-unreach-call_true-no-overflow_false-termination.BV.c.cil.c	TIMEOUT	901.903873109	862.808766578964	1123.868672
bitvector/s3_srvr_2_true-unreach-call_true-no-overflow_false-termination.BV.c.cil.c	TIMEOUT	901.726504282	862.742430426995	1099.423744
bitvector/s3_srvr_3_alt_true-unreach-call_true-no-overflow.BV.c.cil.c	TIMEOUT	901.603561058	865.626587312028	1118.175232
bitvector/s3_srvr_3_true-unreach-call_true-no-overflow.BV.c.cil.c	TIMEOUT	901.630018049	864.618779059965	980.164608
bitvector/soft_float_1_true-unreach-call_true-no-overflow_true-termination.c.cil.c	TIMEOUT	903.305924459	794.086906821001	1426.788352
bitvector/soft_float_2_true-unreach-call_true-no-overflow_true-termination.c.cil.c	TIMEOUT	900.819061717	746.980750970019	1252.302848
bitvector/soft_float_3_true-unreach-call_true-no-overflow_true-termination.c.cil.c	TIMEOUT	902.667009754	760.177971239958	1300.414464
bitvector/soft_float_4_true-unreach-call_true-no-overflow_true-termination.c.cil.c	TIMEOUT	901.810034081	798.075537690951	1657.50784
bitvector/soft_float_5_true-unreach-call_true-no-overflow_true-termination.c.cil.c	TIMEOUT	901.567605729	746.464397753007	1266.7904
bitvector-regression/implicitfloatconversion_false-unreach-call_true-termination.c	false(unreach-call)	4.473138888	1.89650357002392	160.93184
bitvector-regression/implicitunsignedconversion_false-unreach-call_true-termination.c	false(unreach-call)	4.177315006	1.56679722497938	160.354304
bitvector-regression/integerpromotion_false-unreach-call_true-termination.c	false(unreach-call)	4.080473414	1.48569770401809	177.434624
bitvector-regression/recHanoi03_false-unreach-call_true-termination.c	ERROR (recursion)	3.460437771	1.32020104303956	138.031104
bitvector-regression/signextension2_false-unreach-call_true-termination.c	false(unreach-call)	4.188318966	1.5433557620272	175.915008
bitvector-regression/signextension_false-unreach-call_true-termination.c	false(unreach-call)	4.269723562	1.53898158896482	175.648768
bitvector-regression/implicitunsignedconversion_true-unreach-call_true-termination.c	true	3.202856235	1.23214757599635	151.564288
bitvector-regression/integerpromotion_true-unreach-call_true-termination.c	true	3.331042807	1.29077432001941	150.646784
bitvector-regression/signextension2_true-unreach-call_true-termination.c	true	3.287025473	1.2598311190377	145.518592
bitvector-regression/signextension_true-unreach-call_true-termination.c	true	3.586123201	1.41151197999716	138.293248
bitvector-loops/diamond_false-unreach-call2.i	false(unreach-call)	4.507173371	1.63724384503439	184.537088
bitvector-loops/overflow_false-unreach-call1.i	TIMEOUT	901.118503657	867.888105395017	1080.123392
bitvector-loops/verisec_sendmail__tTflag_arr_one_loop_false-unreach-call_true-termination.i	false(unreach-call)	7.108466344	2.39737180701923	216.150016
ntdrivers-simplified/cdaudio_simpl1_false-unreach-call_true-valid-memsafety_true-termination.cil.c	false(unreach-call)	15.826704102	5.22896131197922	355.909632
ntdrivers-simplified/floppy_simpl3_false-unreach-call_true-valid-memsafety_true-termination.cil.c	false(unreach-call)	13.491771338	4.21729205199517	310.45632
ntdrivers-simplified/floppy_simpl4_false-unreach-call_true-valid-memsafety_true-termination.cil.c	false(unreach-call)	24.758245622	13.2840560500044	360.20224
ntdrivers-simplified/kbfiltr_simpl2_false-unreach-call_true-valid-memsafety_true-termination.cil.c	false(unreach-call)	10.477076251	3.30614906497067	272.441344
ntdrivers-simplified/cdaudio_simpl1_true-unreach-call_true-valid-memsafety_true-termination.cil.c	true	14.542508053	5.44077805895358	321.96608
ntdrivers-simplified/diskperf_simpl1_true-unreach-call_true-valid-memsafety_true-termination.cil.c	TIMEOUT	907.820438629	615.610348562011	1364.97152
ntdrivers-simplified/floppy_simpl3_true-unreach-call_true-valid-memsafety_true-termination.cil.c	true	18.164532463	9.36492528201779	348.123136
ntdrivers-simplified/floppy_simpl4_true-unreach-call_true-valid-memsafety_true-termination.cil.c	true	30.2388086	20.0337585069938	412.782592
ntdrivers-simplified/kbfiltr_simpl1_true-unreach-call_true-valid-memsafety_true-termination.cil.c	true	5.360218714	1.77604466595221	168.67328
ntdrivers-simplified/kbfiltr_simpl2_true-unreach-call_true-valid-memsafety_true-termination.cil.c	true	8.267548545	2.80132338398835	211.709952
ssh-simplified/s3_clnt_1_false-unreach-call_true-termination.cil.c	false(unreach-call)	19.74001919	8.99309007404372	380.612608
ssh-simplified/s3_clnt_2_false-unreach-call_true-termination.cil.c	false(unreach-call)	19.520650153	8.88189328298904	389.779456
ssh-simplified/s3_clnt_3_false-unreach-call_true-termination.cil.c	false(unreach-call)	20.560594455	9.49764620204223	393.232384
ssh-simplified/s3_clnt_4_false-unreach-call_true-termination.cil.c	false(unreach-call)	19.965837222	8.91706414503278	392.638464
ssh-simplified/s3_srvr_10_false-unreach-call_false-termination.cil.c	false(unreach-call)	6.373291849	2.0816652039648	216.457216
ssh-simplified/s3_srvr_11_false-unreach-call_false-termination.cil.c	false(unreach-call)	201.353341189	178.778806556016	954.028032
ssh-simplified/s3_srvr_12_false-unreach-call_false-termination.cil.c	TIMEOUT	900.874103756	765.563497345022	852.43904
ssh-simplified/s3_srvr_13_false-unreach-call_false-termination.cil.c	false(unreach-call)	21.933959767	10.291232211981	374.730752
ssh-simplified/s3_srvr_14_false-unreach-call_false-termination.cil.c	false(unreach-call)	8.418082672	2.56633410899667	215.57248
ssh-simplified/s3_srvr_1_false-unreach-call_false-termination.cil.c	false(unreach-call)	14.428732694	4.44411637197482	314.023936
ssh-simplified/s3_srvr_2_false-unreach-call_false-termination.cil.c	false(unreach-call)	13.773495799	4.28731827798765	338.71872
ssh-simplified/s3_srvr_6_false-unreach-call_false-termination.cil.c	false(unreach-call)	5.453592635	1.79441901802784	182.919168
ssh-simplified/s3_clnt_1_true-unreach-call_true-termination.cil.c	TIMEOUT	901.935912985	691.523032129975	555.606016
ssh-simplified/s3_clnt_2_true-unreach-call_true-termination.cil.c	true	727.408458487	694.354657655	812.183552
ssh-simplified/s3_clnt_3_true-unreach-call_true-termination.cil.c	true	847.567142265	812.854729182029	795.8528
ssh-simplified/s3_clnt_4_true-unreach-call_true-termination.cil.c	true	730.324555425	697.317213817034	913.281024
ssh-simplified/s3_srvr_1_true-unreach-call_false-termination.cil.c	TIMEOUT	901.496864934	868.44503141701	976.637952
ssh-simplified/s3_srvr_1a_true-unreach-call_false-termination.cil.c	TIMEOUT	901.4391829	864.579163762042	1065.787392
