   BENCHMARK INFORMATION
benchmark definition:    /u/wel2vw/cpa-symexA.xml
name:                    cpa-symexA
run sets:                sv-comp18
date:                    Sun, 2021-09-26 10:48:10 EDT
tool:                    CPAchecker 1.9
tool executable:         ./cpa.sh
options:                 -symbolicExecution -heap 10000M -benchmark -timelimit 900s
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             8
hardware requirements:
- cpu cores:             8
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    doppio01
os:                      Linux-3.10.0-1127.el7.x86_64-x86_64-with-glibc2.17
cpu:                     Intel Xeon Gold 6130 CPU @ 2.10GHz
- cores:                 64
- max frequency:         3700.0 MHz
- turbo boost enabled:   True
ram:                     134655.91398399998 MB
------------------------------------------------------------



sv-comp18
Run set 1 of 1 with options '-symbolicExecution -heap 10000M -benchmark -timelimit 900s' and propertyfile 'None'

inputfile                                                                                               status                    cpu time   wall time        host
forester-heap/sll-circular_false-unreach-call_false-valid-memcleanup.i                                  false(unreach-call)           5.58        2.93        None
forester-heap/sll-optional_false-unreach-call_false-valid-memcleanup.i                                  false(unreach-call)           6.43        3.52        None
forester-heap/sll-queue_false-unreach-call_false-valid-memcleanup.i                                     false(unreach-call)           5.72        2.88        None
forester-heap/sll-rb-cnstr_1_false-unreach-call_false-valid-deref.i                                     false(unreach-call)           5.71        2.92        None
forester-heap/sll-rb-sentinel_false-unreach-call_false-valid-memcleanup.i                               false(unreach-call)           5.47        2.89        None
forester-heap/sll-simple-white-blue_false-unreach-call_false-valid-memcleanup.i                         false(unreach-call)           5.78        3.24        None
forester-heap/sll-sorted_false-unreach-call_false-valid-memcleanup.i                                    false(unreach-call)           6.61        3.93        None
forester-heap/sll-token_false-unreach-call_false-valid-memcleanup.i                                     false(unreach-call)           5.90        3.81        None
forester-heap/dll-01_true-unreach-call_true-valid-memsafety.i                                           false(unreach-call)           5.49        2.86        None
forester-heap/dll-circular_true-unreach-call_true-valid-memsafety.i                                     false(unreach-call)           5.70        2.82        None
forester-heap/dll-optional_true-unreach-call_true-valid-memsafety.i                                     false(unreach-call)          18.17        8.68        None
forester-heap/dll-queue_true-unreach-call_true-valid-memsafety.i                                        false(unreach-call)           5.91        2.94        None
forester-heap/dll-rb-cnstr_1_true-unreach-call_true-valid-memsafety.i                                   false(unreach-call)           5.66        2.93        None
forester-heap/dll-rb-sentinel_true-unreach-call_true-valid-memsafety.i                                  false(unreach-call)           5.79        3.05        None
forester-heap/dll-reverse_true-unreach-call_true-valid-memsafety.i                                      false(unreach-call)           5.63        2.92        None
forester-heap/dll-simple-white-blue_true-unreach-call_false-valid-memtrack.i                            TIMEOUT                     901.81      801.95        None
forester-heap/dll-sorted_true-unreach-call_true-valid-memsafety.i                                       false(unreach-call)           5.89        2.17        None
forester-heap/dll-token_true-unreach-call_true-valid-memsafety.i                                        false(unreach-call)           4.90        1.76        None
forester-heap/sll-01_true-unreach-call_true-valid-memsafety.i                                           false(unreach-call)           5.16        1.73        None
forester-heap/sll-buckets_true-unreach-call_true-valid-memsafety.i                                      false(unreach-call)           5.28        1.78        None
forester-heap/sll-circular_true-unreach-call_true-valid-memsafety.i                                     false(unreach-call)           5.50        1.96        None
forester-heap/sll-optional_true-unreach-call_true-valid-memsafety.i                                     false(unreach-call)          14.66        4.14        None
forester-heap/sll-queue_true-unreach-call_true-valid-memsafety.i                                        false(unreach-call)           5.37        1.78        None
forester-heap/sll-rb-cnstr_1_true-unreach-call_true-valid-memsafety.i                                   false(unreach-call)           5.36        1.93        None
forester-heap/sll-rb-sentinel_true-unreach-call_true-valid-memsafety.i                                  false(unreach-call)           5.15        1.75        None
forester-heap/sll-reverse_simple_true-unreach-call_true-valid-memsafety.i                               false(unreach-call)           5.09        1.74        None
forester-heap/sll-simple-white-blue_true-unreach-call_false-valid-memtrack.i                            TIMEOUT                     900.48      827.19        None
forester-heap/sll-sorted_true-unreach-call_true-valid-memsafety.i                                       false(unreach-call)           5.52        1.89        None
forester-heap/sll-token_true-unreach-call_true-valid-memsafety.i                                        false(unreach-call)           5.27        1.84        None
list-ext-properties/list-ext_false-unreach-call_false-valid-deref.i                                     TIMEOUT                     909.67      457.26        None
list-ext-properties/list-ext_flag_false-unreach-call_false-valid-deref.i                                TIMEOUT                     900.70      433.86        None
list-ext-properties/simple-ext_false-unreach-call_false-valid-memcleanup_true-termination.i             false(unreach-call)           5.30        1.89        None
list-ext2-properties/list_and_tree_cnstr_false-unreach-call_false-termination.i                         false(unreach-call)          28.04        7.58        None
list-ext2-properties/list_and_tree_cnstr_true-unreach-call_false-termination.i                          TIMEOUT                     901.34      818.70        None
list-ext2-properties/simple_and_skiplist_2lvl_false-unreach-call.i                                      false(unreach-call)           6.43        2.17        None
list-ext2-properties/simple_and_skiplist_2lvl_true-unreach-call.i                                       TIMEOUT                     901.67      738.20        None
list-ext2-properties/simple_search_value_false-unreach-call.i                                           TIMEOUT                     900.54      569.79        None
list-ext2-properties/simple_search_value_true-unreach-call.i                                            TIMEOUT                     901.73      575.80        None
