   BENCHMARK INFORMATION
benchmark definition:    /u/wel2vw/cpa-symex.xml
name:                    cpa-symex
run sets:                sv-comp18
date:                    Wed, 2021-09-22 16:02:50 EDT
tool:                    CPAchecker 1.9
tool executable:         ./cpa.sh
options:                 -symbolicExecution -heap 10000M -benchmark -timelimit 900s
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             8
hardware requirements:
- cpu cores:             8
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    doppio04
os:                      Linux-3.10.0-1127.el7.x86_64-x86_64-with-glibc2.17
cpu:                     Intel Xeon Gold 6130 CPU @ 2.10GHz
- cores:                 64
- max frequency:         3700.0 MHz
- turbo boost enabled:   True
ram:                     134655.91808 MB
------------------------------------------------------------



sv-comp18
Run set 1 of 1 with options '-symbolicExecution -heap 10000M -benchmark -timelimit 900s' and propertyfile 'None'

inputfile                                                                                                                                                                                                        status                    cpu time   wall time        host
array-tiling/mlceu_false-unreach-call.i                                                                                                                                                                          TIMEOUT                     900.37      744.72        None
array-tiling/skippedu_false-unreach-call.i                                                                                                                                                                       false(unreach-call)           4.53        1.67        None
array-tiling/mbpr2_true-unreach-call.i                                                                                                                                                                           TIMEOUT                     902.10      616.38        None
array-tiling/mbpr3_true-unreach-call.i                                                                                                                                                                           TIMEOUT                     903.17      610.08        None
array-tiling/mbpr4_true-unreach-call.i                                                                                                                                                                           TIMEOUT                     903.85      607.49        None
array-tiling/mbpr5_true-unreach-call.i                                                                                                                                                                           TIMEOUT                     903.36      611.86        None
array-tiling/nr2_true-unreach-call.i                                                                                                                                                                             TIMEOUT                     902.99      572.32        None
array-tiling/nr3_true-unreach-call.i                                                                                                                                                                             TIMEOUT                     901.29      593.98        None
array-tiling/nr4_true-unreach-call.i                                                                                                                                                                             TIMEOUT                     903.71      580.91        None
array-tiling/nr5_true-unreach-call.i                                                                                                                                                                             TIMEOUT                     900.92      595.60        None
array-tiling/pnr2_true-unreach-call.i                                                                                                                                                                            TIMEOUT                     901.62      870.99        None
array-tiling/pnr3_true-unreach-call.i                                                                                                                                                                            TIMEOUT                     901.51      873.46        None
array-tiling/pnr4_true-unreach-call.i                                                                                                                                                                            TIMEOUT                     901.19      872.81        None
array-tiling/pnr5_true-unreach-call.i                                                                                                                                                                            TIMEOUT                     901.36      871.08        None
array-tiling/poly1_true-unreach-call.i                                                                                                                                                                           TIMEOUT                     902.82      751.15        None
array-tiling/poly2_true-unreach-call.i                                                                                                                                                                           TIMEOUT                     902.07      755.97        None
array-tiling/pr2_true-unreach-call.i                                                                                                                                                                             TIMEOUT                     904.10      719.73        None
array-tiling/pr3_true-unreach-call.i                                                                                                                                                                             TIMEOUT                     903.18      691.23        None
array-tiling/pr4_true-unreach-call.i                                                                                                                                                                             TIMEOUT                     902.40      767.77        None
array-tiling/pr5_true-unreach-call.i                                                                                                                                                                             TIMEOUT                     901.21      828.15        None
array-tiling/revcpyswp2_true-unreach-call.i                                                                                                                                                                      TIMEOUT                     901.34      604.67        None
array-tiling/rew_true-unreach-call.i                                                                                                                                                                             TIMEOUT                     904.77      793.36        None
array-tiling/rewnif_true-unreach-call.i                                                                                                                                                                          TIMEOUT                     902.00      735.08        None
array-tiling/rewnifrev2_true-unreach-call.i                                                                                                                                                                      TIMEOUT                     900.56      838.92        None
array-tiling/rewnifrev_true-unreach-call.i                                                                                                                                                                       TIMEOUT                     900.99      805.37        None
array-tiling/rewrev_true-unreach-call.i                                                                                                                                                                          TIMEOUT                     901.06      795.56        None
array-tiling/skipped_true-unreach-call.i                                                                                                                                                                         TIMEOUT                     900.76      817.69        None
array-tiling/tcpy_true-unreach-call.i                                                                                                                                                                            TIMEOUT                     900.29      850.77        None
array-programs/copysome1_false-unreach-call.i                                                                                                                                                                    TIMEOUT                     901.41      896.85        None
array-programs/copysome2_false-unreach-call.i                                                                                                                                                                    TIMEOUT                     901.62      897.05        None
array-programs/copysome1_true-unreach-call.i                                                                                                                                                                     TIMEOUT                     901.39      896.82        None
